001,Of Mice and Men,John Steinbeck
003,Tiny Alice,Edward Albee
005,Beowulf,Seamus Haney
007,All Quiet on the Western Front,Erich Maria Remarque
008,Dune,Frank Herbert
009,The Turn of the Screw,Henry James
010,The Wonderful Wizard of Oz,L. Frank Baum
011,The War of the Worlds,H. G. Wells
012,Middlesex,Jeffrey Eugenides
013,A Lesson Before Dying,Ernest J. Gaines
014,The Crucible,Arthur Miller
015,The Elements of Style,Strunk and White
016,World War Z,Max Brooks
017,Winnie The Pooh,A. A. Milne
018,Frankenstein,Mary Shelley
019,The Color Purple,Alice Walker
020,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson
021,Life of Pi,Yann Martel
022,Antony and Cleopatra,William Shakespeare
023,Breakfast of Champions,Kurt Vonnegut
024,Grendel,John Gardner
025,Flowers for Algernon,Daniel Keyes
026,Persuasion,Jane Austen
027,You Shall Know Our Velocity!,Dave Eggers
028,The Martian Chronicles,Ray Bradbury
029,The Importance of Being Earanest,Oscar Wilde
030,Medea,Euripides
031,The Picture of Dorian Gray,Oscar Wilde
032,A Visit from the Goon Squad,Jennifer Egan
033,The Stand,Stephen King
034,Don't Go Back to School,Kio Stark
035,No Exit,Jean-Paul Sartre
036,Battle Royale,Koushun Takami
037,The Unnamable,Samuel Beckett
038,Eddie and the Cruisers,P.F. Kluge
039,The Hound of the Baskervilles,Sir Arthur Conan Doyle
040,Franny and Zooey,J.D. Salinger
041,Winter's Bone,Daniel Woodrell
042,A Christmas Carol,Charles Dickens
043,The Raven,Edgar Allan Poe
044,Mary Poppins,P.L. Travers
045,The Awakening,Kate Chopin
046,The Old Man and the Sea,Ernest Hemingway
047,Pygmalion,George Bernard Shaw
048,Dracula,Bram Stoker
049,Cat's Cradle,Kurt Vonnegut
050,Fifty Shades of Grey,E.L. James
051,Replay,Ken Grimwood
052,Extra Innings,Baseball Prospectus
053,The Yellow Wallpaper/The Lottery,Various
054,In the Woods,Tana French
055,To Kill a Mockingbird,Harper Lee
056,The Misanthrope,Moliere
057,Tell the Wolves I'm Home,Carol Rifka Brunt
058,The Passage,Justin Cronin
059,The Celebrated Jumping Frog,Mark Twain
060,Watchmen,Alan Moore
061,The Lorax/Oh the Places You'll Go,Dr. Seuss
062,The Giver,Lois Lowry
063,King Lear,William Shakespeare
064,Big Blonde/Here We Are,Dorothy Parker
065,The Marriage Plot,Jeffrey Eugenides
066,The Muder of Roger Ackroyd,Agatha Christie
067,Bossypants,Tina Fey
068,Mr. Penumbra's 24-Hour Bookstore,Robin Sloan
069,The Reader,Bernhard Schlink
070,Girl With a Pearl Earring,Tracy Chevalier
071,Go Tell It on the Mountain,James Baldwin
072,Pride and Prejudice,Jane Austen
073,Portnoy's Complaint,Philip Roth
074,Orange is The New Black,Piper Kerman
075,The Hairy Ape,Eugene O'Neill
076,This Is How You Lose Her,Junot Diaz
077,"Surely You're Joking, Mr. Feynman",Richard Feynman
078,The Mystery of Chimney Rock,Choose Your Own Adventure
079,The Homecoming,Harold Pinter
080,The Legend of Sleepy Hollow,Washington Irving
081,Rosemary's Baby,Ira Levin
082,At the Mountains of Madness,H.P. Lovecraft
083,The Mummy,Anne Rice
084,You Are a Monster,Choose Your Own Adventure
085,Colorless Tsukuru Tazaki,Haruki Murakami
086,Summerland,Michael Chabon
087,Gone Girl,Gillian Flynn
088,Animal Farm,George Orwell
089,The Handmaid's Tale,Margaret Atwell
090,Lonesome Dove,Larry McMurtry
091,In Cold Blood,Truman Capote
092,A Kidnapped Santa Claus/Hershel,L. Frank Baum
093,Lolita,Vladmir Nabokov
094,The Secret History,Donna Tartt
095,Moby-Dick,Herman Melville
096,Something Wicked This Way Comes,Ray Bradbury
097,Batman: The Long Halloween,Jeph Loeb
098,Secret of the Ninja,Choose Your Own Adventure
099,Six Characters in Search of an Author,Luigi Pirandello
100,Fifty Shades Darker,E.L. James
101,The Man in the High Castle,Philip K. Dick
102,Their Eyes Were Watching God,Zora Neale Hurston
103,Foundation,Isaac Asimov
104,Tis Pity She's A Whore,John Ford
105,The Sparrow,Mary Doria Russell
106,Zen and the Art of Motorcycle Maintenance,Robert Pirsig
107,A Farewell to Arms,Ernest Hemingway
108,Little House on the Prairie,Laura Ingalls Wilder
109,The Girl Next Door,Jack Ketchum
110,Looking for Alaska,John Green
111,Sabriel,Garth Nix
112,How Not To Write a Novel,Howard Mittelmark
113,Bad Feminist,Roxane Gay
114,Mr. Popper's Penguins ,Florence Atwater
115,Everything and Nothing,Jorge Luis Borges
116,The Tenant of Wildfell Hall,Anne Bronte
117,Outlander,Diana Gabaldon
118,Blood Meridian,Cormac McCarthy
119,Across a Hundred Mountains,Reyna Grande
120,A Boy and His Dog,Harlan Ellison
121,Space Vampire,Choose Your Own Adventure
122,To the Lighthouse,Virginia Woolf
123,Till We Have Face,C.S. Lewis
124,Wit,Margaret Edson
125,"Are You There, God? It's Me, Margaret",Judy Blume
126,My Side of the Mountain,Jean Craighead George
127,Ethan Frome,Edith Wharton
128,The We Came To The End,Joshua Ferris
129,The Daughter of Time,Josephine Tey
130,All The King's Men,Robert Penn Warren
131,The Hobbit,J.R.R. Tolkien
132,1984,George Orwell
133,Go Set a Watchman,Harper Lee
134,The Fellowship of the Ring,J.R.R. Tolkien
135,The Two Towers,J.R.R. Tolkien
136,The Return of the King,J.R.R. Tolkien
137,The Martian,Andy Weir
138,Bunnicula,James and Deborah Howe
139,Ghost Train,Choose Your Own Adventure
140,The Amityville Horror,Jay Anson
141,Rebecca,Daphne de Maurier
142,Wuthering Heights,Emily Bronte
143,Ghost Stories and Urban Legends,Various
144,The Last of the Wine,Mary Renault
145,A Confederacy Dunces,John Kennedy Toole
146,A Good Man Is Hard to Find,Flannery O'Connor
147,Catch-22,Joseph Heller
148,Things Fall Apart,Chinua Achebe
149,Around the World in Eighty Days,Jules Verne
150,Fifty Shades Freed,E.L. James
151,Home Alone,Todd Strasser
152,The Cuckoo's Calling,Robert Galbraith
153,The Age of Innocence,Edith Wharton
154,The Scarlet Pimpernel,Emma Orczy
155,Good Omens,Neil Gaiman and Terry Pratchett
156,A Canticle for Leibowitz,Walter M. Miller Jr.
157,The Bees,Laline Paull
158,Beloved,Toni Morrison
159,The Ones Who Walk Away from Omelas,Ursula K. Le Guin
160,Robinson Crusoe,Daniel Defoe
161,It,Stephen King
162,A Prayer for Owen Meany,John Irving
163,Disgruntled,Asali Solomon
164,Speedboat,Renata Adler
165,Peter Pan,J.M. Barrie
166,When Women Were Birds,Terry Tempest Williams
167,Statue of Liberty Adventure,Choose Your Own Adventure
168,The Rover,Aphra Behn
169,Flowers in the Attic,V.C. Andrews
170,Star Wars: Aftermath,Chuck Wendig
171,Mr. Peanut,Adam Ross
172,Les Miserables,Victor Hugo
173,Eat Pray Love,Elizabeth Gilbert
174,The Hunchback of Notre Dame,Victor Hugo
175,The Dark is Rising,Susan Cooper
176,Black Beauty,Anna Sewell
177,Jurassic Park,Michael Crichton
178,The Call of the Wild,Jack London
179,1Q84,Haruki Murakami
180,Preacher,Garth Ennis
181,Guilt By Association,Marcia Clark
182,Jane Eyre,Charlotte Bronte
183,The Door,Magda Szabo
184,The Gospel of Loki,Joanne Harris
186,Island of the Blue Dolphins,Scott O'Dell
187,A Walk to Remember,Nicholas Sparks
188,The Likeness,Tana French
189,Shadowshaper,Daniel Jose Older
190,Eleanor & Park,Rainbow Rowell
191,The Phantom Tollbooth,Norton Juster
192,Casino Royale,Ian Fleming
